Threads,Duration
1,%!f(time.Duration=01)
2,%!f(time.Duration=00)
3,%!f(time.Duration=00)
4,%!f(time.Duration=00)
5,%!f(time.Duration=00)
6,%!f(time.Duration=00)
7,%!f(time.Duration=00)
8,%!f(time.Duration=00)
9,%!f(time.Duration=00)
10,%!f(time.Duration=00)
11,%!f(time.Duration=00)
12,%!f(time.Duration=00)
13,%!f(time.Duration=00)
14,%!f(time.Duration=00)
15,%!f(time.Duration=00)
16,%!f(time.Duration=00)
17,%!f(time.Duration=00)
18,%!f(time.Duration=00)
19,%!f(time.Duration=00)
20,%!f(time.Duration=00)
